movie,actor,rank,studio,bday,male,release_date,production_budget,domestic_gross,worldwide_gross
Made of Honor,Sydney Pollack,6,Sony,1934-07-01,1.0,2008-05-02,40000000.0,46012734.0,106548738.0
Madison,James Caviezel,15,UA,1968-09-26,1.0,2005-04-22,15500000.0,517262.0,517262.0
Maggie,Abigail Breslin,18,RAtt.,1996-04-14,0.0,2015-05-08,4500000.0,187112.0,597989.0
Maggie,Arnold Schwarzenegger,30,RAtt.,1947-07-30,1.0,2015-05-08,4500000.0,187112.0,597989.0
Magic Mike,Alex Pettyfer,1,WB,1990-04-10,1.0,2012-06-29,7000000.0,113721571.0,170549753.0
Magic Mike,Channing Tatum,7,WB,1980-04-26,1.0,2012-06-29,7000000.0,113721571.0,170549753.0
Magic Mike,Cody Horn,1,WB,1988-06-12,0.0,2012-06-29,7000000.0,113721571.0,170549753.0
Magic Mike,Matthew McConaughey,5,WB,1969-11-04,1.0,2012-06-29,7000000.0,113721571.0,170549753.0
Magic Mike XXL,Amber Heard,2,WB,1986-04-22,0.0,2015-07-01,14500000.0,66013057.0,117813057.0
Magic Mike XXL,Channing Tatum,13,WB,1980-04-26,1.0,2015-07-01,14500000.0,66013057.0,117813057.0
Magnolia,Alfred Molina,-,NL,1953-05-24,1.0,1999-12-17,37000000.0,22450975.0,48446802.0
Magnolia,Clark Gregg,-,NL,1962-04-02,1.0,1999-12-17,37000000.0,22450975.0,48446802.0
Magnolia,Julianne Moore,17,NL,1960-12-03,0.0,1999-12-17,37000000.0,22450975.0,48446802.0
Magnolia,Philip Seymour Hoffman,20,NL,1967-07-23,1.0,1999-12-17,37000000.0,22450975.0,48446802.0
Magnolia,Thomas Jane,-,NL,1969-02-22,1.0,1999-12-17,37000000.0,22450975.0,48446802.0
Magnolia,Tom Cruise,34,NL,1962-07-03,1.0,1999-12-17,37000000.0,22450975.0,48446802.0
Magnolia,William H. Macy,16,NL,1950-03-13,1.0,1999-12-17,37000000.0,22450975.0,48446802.0
Maid in Manhattan,Jennifer Lopez,3,SonR,1969-07-24,0.0,2002-12-13,55000000.0,93932896.0,163838217.0
Maid in Manhattan,Ralph Fiennes,11,SonR,1962-12-22,1.0,2002-12-13,55000000.0,93932896.0,163838217.0
Maid in Manhattan,Stanley Tucci,8,SonR,1960-11-11,1.0,2002-12-13,55000000.0,93932896.0,163838217.0
Major League,Charlie Sheen,6,Par.,1965-09-03,1.0,1989-04-07,11000000.0,49793054.0,49793054.0
Major League,Rene Russo,10,Par.,1954-02-17,0.0,1989-04-07,11000000.0,49793054.0,49793054.0
Major League,Wesley Snipes,6,Par.,1962-07-31,1.0,1989-04-07,11000000.0,49793054.0,49793054.0
Malcolm X,Angela Bassett,6,WB,1958-08-16,0.0,1992-11-18,35000000.0,44707772.0,44707772.0
Malcolm X,Denzel Washington,16,WB,1954-12-28,1.0,1992-11-18,35000000.0,44707772.0,44707772.0
Malcolm X,Martin Donovan,-,WB,1957-08-19,1.0,1992-11-18,35000000.0,44707772.0,44707772.0
Maleficent,Angelina Jolie,2,BV,1975-06-04,0.0,2014-05-30,180000000.0,241407328.0,758536735.0
Maleficent,Brenton Thwaites,1,BV,1989-08-10,1.0,2014-05-30,180000000.0,241407328.0,758536735.0
Maleficent,Imelda Staunton,2,BV,1956-01-09,0.0,2014-05-30,180000000.0,241407328.0,758536735.0
Maleficent,Juno Temple,1,BV,1989-07-21,0.0,2014-05-30,180000000.0,241407328.0,758536735.0
Maleficent,Sharlto Copley,1,BV,1973-11-27,1.0,2014-05-30,180000000.0,241407328.0,758536735.0
Malibu's Most Wanted,Kal Penn,-,WB,1977-04-23,1.0,2003-04-18,15000000.0,34308901.0,34499204.0
Malibu's Most Wanted,Nick Swardson,-,WB,1976-10-09,1.0,2003-04-18,15000000.0,34308901.0,34499204.0
Malibu's Most Wanted,Regina Hall,9,WB,1970-12-12,0.0,2003-04-18,15000000.0,34308901.0,34499204.0
Malibu's Most Wanted,Snoop Dogg,-,WB,1971-10-20,1.0,2003-04-18,15000000.0,34308901.0,34499204.0
Mallrats,Ben Affleck,33,Gram.,1972-08-15,1.0,1995-10-20,6100000.0,2028211.0,2028211.0
Mama,Jessica Chastain,6,Uni.,1977-03-24,0.0,2013-01-18,15000000.0,71628180.0,148095566.0
Mamma Mia!,Amanda Seyfried,1,Uni.,1985-12-03,0.0,2008-07-18,52000000.0,143762955.0,602133452.0
Mamma Mia!,Colin Firth,1,Uni.,1960-09-10,1.0,2008-07-18,52000000.0,143762955.0,602133452.0
Mamma Mia!,Dominic Cooper,2,Uni.,1978-06-02,1.0,2008-07-18,52000000.0,143762955.0,602133452.0
Mamma Mia!,Meryl Streep,4,Uni.,1949-06-22,0.0,2008-07-18,52000000.0,143762955.0,602133452.0
Mamma Mia!,Pierce Brosnan,6,Uni.,1953-05-16,1.0,2008-07-18,52000000.0,143762955.0,602133452.0
Mamma Mia!,Stellan Skarsgard,9,Uni.,1951-06-13,1.0,2008-07-18,52000000.0,143762955.0,602133452.0
Man of Steel,Amy Adams,1,WB,1974-08-20,0.0,2013-06-14,225000000.0,291045518.0,667999518.0
Man of Steel,Diane Lane,2,WB,1965-01-22,0.0,2013-06-14,225000000.0,291045518.0,667999518.0
Man of Steel,Henry Cavill,1,WB,1983-05-05,1.0,2013-06-14,225000000.0,291045518.0,667999518.0
Man of Steel,Kevin Costner,3,WB,1955-01-18,1.0,2013-06-14,225000000.0,291045518.0,667999518.0
Man of Steel,Laurence Fishburne,2,WB,1961-07-30,1.0,2013-06-14,225000000.0,291045518.0,667999518.0
Man of Steel,Russell Crowe,2,WB,1964-04-07,1.0,2013-06-14,225000000.0,291045518.0,667999518.0
Man of the House,Cedric the Entertainer,17,Sony,1964-04-24,1.0,2005-02-25,50000000.0,19118247.0,21518247.0
Man of the House,Tommy Lee Jones,28,Sony,1946-09-15,1.0,2005-02-25,50000000.0,19118247.0,21518247.0
Man of the Year,Christopher Walken,17,Uni.,1943-03-31,1.0,2006-10-13,20000000.0,37442180.0,41342180.0
Man of the Year,Jeff Goldblum,9,Uni.,1952-10-22,1.0,2006-10-13,20000000.0,37442180.0,41342180.0
Man of the Year,Laura Linney,9,Uni.,1964-02-05,0.0,2006-10-13,20000000.0,37442180.0,41342180.0
Man of the Year,Robin Williams,32,Uni.,1951-07-21,1.0,2006-10-13,20000000.0,37442180.0,41342180.0
Man on Fire,Christopher Walken,10,Fox,1943-03-31,1.0,2004-04-23,60000000.0,77906816.0,130968579.0
Man on Fire,Dakota Fanning,5,Fox,1994-02-23,0.0,2004-04-23,60000000.0,77906816.0,130968579.0
Man on Fire,Denzel Washington,11,Fox,1954-12-28,1.0,2004-04-23,60000000.0,77906816.0,130968579.0
Man on Fire,Mickey Rourke,-,Fox,1952-09-16,1.0,2004-04-23,60000000.0,77906816.0,130968579.0
Man on Fire,Radha Mitchell,1,Fox,1973-11-12,0.0,2004-04-23,60000000.0,77906816.0,130968579.0
Man on a Ledge,Anthony Mackie,15,LG/S,1978-09-23,1.0,2012-01-27,42000000.0,18620000.0,45688337.0
Man on a Ledge,Ed Harris,27,LG/S,1950-11-28,1.0,2012-01-27,42000000.0,18620000.0,45688337.0
Man on a Ledge,Elizabeth Banks,20,LG/S,1974-02-10,0.0,2012-01-27,42000000.0,18620000.0,45688337.0
Man on a Ledge,Jamie Bell,9,LG/S,1986-03-14,1.0,2012-01-27,42000000.0,18620000.0,45688337.0
Man on a Ledge,Sam Worthington,6,LG/S,1976-08-02,1.0,2012-01-27,42000000.0,18620000.0,45688337.0
Man on the Moon,Danny DeVito,19,Uni.,1944-11-17,1.0,1999-12-22,52000000.0,34580635.0,47407635.0
